RUN	com.gatling.demo.api.CrudApiTest	crudapitest	1681571474489	 	3.3.1
USER	GET User API	4	START	1681571475475	1681571475475
USER	GET User API	8	START	1681571475489	1681571475489
USER	POST User API	1	START	1681571475460	1681571475460
USER	GET User API	5	START	1681571475482	1681571475482
USER	GET User API	6	START	1681571475482	1681571475482
USER	GET User API	10	START	1681571475502	1681571475502
USER	UPDATE User API	12	START	1681571475503	1681571475503
USER	DELETE User API	23	START	1681571475504	1681571475504
USER	GET User API	9	START	1681571475507	1681571475507
USER	GET User API	7	START	1681571475509	1681571475509
USER	GET User API	11	START	1681571475502	1681571475502
REQUEST	4		Get User	1681571475482	1681571475522	OK	 
REQUEST	5		Get User	1681571475482	1681571475580	OK	 
REQUEST	11		Get User	1681571475503	1681571475582	OK	 
REQUEST	7		Get User	1681571475509	1681571475584	OK	 
REQUEST	6		Get User	1681571475483	1681571475585	OK	 
REQUEST	8		Get User	1681571475489	1681571475587	OK	 
REQUEST	10		Get User	1681571475502	1681571475589	OK	 
REQUEST	9		Get User	1681571475507	1681571475590	OK	 
USER	UPDATE User API	13	START	1681571475665	1681571475665
REQUEST	23		Delete User	1681571475505	1681571475772	OK	 
REQUEST	12		Update User	1681571475504	1681571475790	OK	 
REQUEST	1		Create User	1681571475491	1681571475761	OK	 
USER	UPDATE User API	14	START	1681571475866	1681571475866
REQUEST	13		Update User	1681571475667	1681571475883	OK	 
USER	UPDATE User API	15	START	1681571476066	1681571476066
REQUEST	14		Update User	1681571475867	1681571476108	OK	 
USER	UPDATE User API	16	START	1681571476266	1681571476266
REQUEST	15		Update User	1681571476067	1681571476279	OK	 
USER	UPDATE User API	17	START	1681571476465	1681571476465
USER	DELETE User API	24	START	1681571476467	1681571476467
USER	POST User API	2	START	1681571476475	1681571476475
REQUEST	16		Update User	1681571476267	1681571476493	OK	 
USER	GET User API	4	END	1681571475475	1681571476548
USER	GET User API	11	END	1681571475502	1681571476596
USER	GET User API	5	END	1681571475482	1681571476605
USER	GET User API	6	END	1681571475482	1681571476605
USER	GET User API	7	END	1681571475509	1681571476605
USER	GET User API	8	END	1681571475489	1681571476605
USER	GET User API	10	END	1681571475502	1681571476605
USER	GET User API	9	END	1681571475507	1681571476605
USER	UPDATE User API	18	START	1681571476665	1681571476665
REQUEST	24		Delete User	1681571476468	1681571476678	OK	 
REQUEST	17		Update User	1681571476466	1681571476692	OK	 
REQUEST	2		Create User	1681571476476	1681571476694	OK	 
USER	DELETE User API	23	END	1681571475504	1681571476786
USER	POST User API	1	END	1681571475460	1681571476786
USER	UPDATE User API	12	END	1681571475503	1681571476805
USER	UPDATE User API	19	START	1681571476865	1681571476865
REQUEST	18		Update User	1681571476666	1681571476890	OK	 
USER	UPDATE User API	13	END	1681571475665	1681571476896
USER	UPDATE User API	20	START	1681571477065	1681571477065
REQUEST	19		Update User	1681571476866	1681571477091	OK	 
USER	UPDATE User API	14	END	1681571475866	1681571477125
USER	UPDATE User API	21	START	1681571477265	1681571477265
REQUEST	20		Update User	1681571477066	1681571477280	OK	 
USER	UPDATE User API	15	END	1681571476066	1681571477296
USER	UPDATE User API	22	START	1681571477465	1681571477465
USER	DELETE User API	25	START	1681571477466	1681571477466
REQUEST	21		Update User	1681571477266	1681571477475	OK	 
USER	POST User API	3	START	1681571477476	1681571477476
USER	UPDATE User API	16	END	1681571476266	1681571477505
USER	UPDATE User API	27	START	1681571477665	1681571477665
REQUEST	25		Delete User	1681571477466	1681571477683	OK	 
REQUEST	22		Update User	1681571477466	1681571477686	OK	 
REQUEST	3		Create User	1681571477476	1681571477689	OK	 
